run,time,timesteps,X:VCD,X:Glc,X:Lac,X:Titer,F:Glc
17,0,0.0,0.5867346938775511,13.571428571428571,0.0,0.0,0.0
17,1,1.0,1.736335129735039,12.551580571584513,1.5356310257379326,0.2154947626922244,18.92857142857143
17,2,2.0,4.523534227318382,11.851325493866868,5.791654831014573,2.4002952868721814,18.92857142857143
17,3,3.0,9.59695239936751,24.181503320847803,15.71601310813908,16.713244217517403,18.92857142857143
17,4,4.0,15.120833407266275,31.16153260530006,33.67056348808832,80.09879391202226,18.92857142857143
17,5,5.0,18.080074125012164,33.90854735313779,57.97990607292464,228.2365686728776,18.92857142857143
17,6,6.0,17.910015619037182,35.37482967516395,84.21116950461504,442.6138615666333,18.92857142857143
17,7,7.0,15.79259026134396,38.04738436063867,108.62860066465907,676.5028921408751,18.92857142857143
17,8,8.0,12.92969265221648,43.18207674665352,129.34512444404743,893.879903899134,18.92857142857143
17,9,9.0,10.010464600959583,51.12154083693802,145.84645689398528,1076.976508973668,18.92857142857143
17,10,10.0,7.272135845038963,61.777465703029655,158.2665494625811,1219.8048039831613,18.92857142857143
17,11,11.0,4.722957808494762,74.9700024740705,166.8769755632019,1321.1276155902149,0.0
17,12,12.0,2.6075073650811422,86.57713644381283,172.06850550675586,1383.089762328167,0.0
17,13,13.0,1.3796533031308025,84.72818438153979,174.84355212942052,1416.4512256890605,0.0
17,14,14.0,0.736357009969941,83.74572058218739,176.3181225767513,1434.2387995215795,0.0
18,0,0.0,0.6602040816326531,23.57142857142857,0.0,0.0,0.0
18,1,1.0,2.013399445165291,22.40060810314452,1.76005174876884,0.1399361795498808,0.0
18,2,2.0,5.332240602564793,19.081067195054263,6.751392498068576,2.3562382868071845,12.193877551020408
18,3,3.0,10.748125375710597,13.09910902005465,18.18813339322877,22.702014244288435,12.193877551020408
18,4,4.0,15.72112085579533,12.470793453585122,37.494499745588925,102.1842377061296,12.193877551020408
18,5,5.0,17.719074005687766,8.415590516310601,61.98503045532675,261.5974139493828,12.193877551020408
18,6,6.0,16.644492001986585,4.0513212092310695,87.03287828072145,463.7842400599031,12.193877551020408
18,7,7.0,13.708503756441786,1.8636936511294977,109.020296059349,645.9704415441369,12.193877551020408
18,8,8.0,10.584056011551189,2.7275893998938248,126.43803483709794,790.945885134553,0.0
18,9,9.0,7.140938591166055,-4.548265871605728e-11,139.2520278766148,827.1313332218451,0.0
18,10,10.0,4.574477283065097,2.138741958264432e-08,147.55505528010295,827.1313331909358,0.0
18,11,11.0,2.915210544626931,1.4055338597284147e-09,152.860153213784,827.1313332158825,0.0
18,12,12.0,1.851997725058026,-8.23096892492106e-09,156.23556522743166,827.1313332281894,0.0
18,13,13.0,1.174298649800209,-1.0333416197054986e-08,158.37783636363312,827.1313332309244,0.0
